Date,Close,High,Low,Open,Volume
1999-11-18,26.455528259277344,30.06310175213256,24.05047979845691,27.357420029242007,62546380
1999-11-19,24.275959014892578,25.854271519247266,23.93774873445959,25.816691352227362,15234146
1999-11-22,26.455528259277344,26.455528259277344,24.088058354997248,24.839635898800562,6577870
1999-11-23,24.05048179626465,26.23005749564531,24.05048179626465,25.55363700873427,5975611
1999-11-24,24.68932342529297,25.215428063952405,24.05048150576035,24.125640227425556,4843231
1999-11-26,24.764480590820312,24.952374990466897,24.501429072614798,24.57658619117373,1729466
1999-11-29,25.32816505432129,25.51605946334889,24.388693009183278,24.651746143771522,4074751
1999-11-30,25.36574363708496,25.816689577835614,24.614166000334315,25.25300635027263,4310034
1999-12-01,25.816686630249023,26.11731829192479,25.177846353249468,25.36574074098453,2957329
1999-12-02,26.53070068359375,27.056807191778407,25.9670172004317,26.305227610978942,3069868
1999-12-03,26.756160736083984,27.470159787958597,26.643425056261222,27.01921386216899,3041629
1999-12-06,27.507740020751953,27.9211057843973,27.169528170680042,27.207108333965337,2250780
1999-12-07,27.207115173339844,27.658061213630127,26.643431821352145,27.507746935699828,2215970
1999-12-08,27.16952896118164,27.43258049233649,26.944057594405482,27.207109125560333,1887859
1999-12-09,27.54530906677246,27.62046937175768,27.20710052032959,27.20710052032959,2029057
1999-12-10,26.906478881835938,27.620479598066204,26.906478881835938,27.47016213893933,1664738
1999-12-13,27.357423782348633,27.808372935693992,26.681004862078662,27.357423782348633,4020508
1999-12-14,25.85426902770996,27.28226553611949,25.290585815726104,27.28226553611949,2328928
1999-12-15,25.06511688232422,25.44090575074437,24.651749447711964,25.253009713284744,2917766
1999-12-16,28.409635543823242,28.409635543823242,25.25300883787083,25.25300883787083,2583923
1999-12-17,27.62047576904297,28.334473179793022,27.31984409896459,27.883527277924653,3708055
1999-12-20,28.184158325195312,28.221735279063246,27.73320922679353,27.808369547526045,1196828
1999-12-21,28.03384780883789,28.07142797847874,27.658058938425864,28.07142797847874,2259448
1999-12-22,28.597524642944336,28.597524642944336,27.845947072199436,28.03384146488566,1905754
1999-12-23,29.91278648376465,30.063103927300254,28.522368568426714,28.559948730935243,2159491
1999-12-27,31.754146575927734,31.97961788215398,29.80004268298009,30.025517195704143,2029616
1999-12-28,36.97761917114258,36.97761917114258,32.43057309697521,32.618467509849914,3560007
